symbol,close,delivery_pct,volume,turnover,Score,Label
SHREEJISPG,400.0,68.44,291186,116474400.0,1,⚪ Neutral
LLOYDSENT,53.75,73.55,2019857,108567313.75,1,⚪ Neutral
TBOTEK,1256.5,60.95,84571,106263461.5,1,⚪ Neutral
BIKAJI,628.0,78.87,168380,105742640.0,1,⚪ Neutral
ORIENTHOT,103.0,50.56,1021252,105188956.0,1,⚪ Neutral
ICICIB22,128.03,80.8,818795,104830323.85,1,⚪ Neutral
CRISIL,4484.0,61.63,23033,103279972.0,1,⚪ Neutral
VIPIND,359.4,75.08,285746,102697112.39999999,1,⚪ Neutral
FIEMIND,2210.3,50.6,46141,101985452.30000001,1,⚪ Neutral
AXISGOLD,131.78,52.82,770684,101560737.52,1,⚪ Neutral
TRITURBINE,495.8,54.62,204365,101324167.0,1,⚪ Neutral
CELLO,417.5,57.89,239619,100040932.5,1,⚪ Neutral
KRISHNADEF,1079.0,53.85,92354,99649966.0,1,⚪ Neutral
EMAMILTD,475.5,64.06,207885,98849317.5,1,⚪ Neutral
ECOSMOBLTY,151.5,60.52,647007,98021560.5,1,⚪ Neutral
UGROCAP,114.8,60.74,849233,97491948.39999999,1,⚪ Neutral
AUTOBEES,294.8,55.97,330153,97329104.4,1,⚪ Neutral
SYMPHONY,835.05,56.36,116248,97072892.39999999,1,⚪ Neutral
KSCL,800.0,56.6,121242,96993600.0,1,⚪ Neutral
MBAPL,475.8,62.93,203535,96841953.0,1,⚪ Neutral
BERGEPAINT,458.75,59.21,210873,96737988.75,1,⚪ Neutral
TMB,689.4,50.24,138771,95668727.39999999,1,⚪ Neutral
KAJARIACER,959.0,58.51,99069,95007171.0,1,⚪ Neutral
MAHSCOOTER,13500.0,50.16,6972,94122000.0,1,⚪ Neutral
RBA,63.61,71.88,1441517,91694896.37,1,⚪ Neutral
JUBLPHARMA,882.45,54.32,103343,91195030.35000001,1,⚪ Neutral
GLAXO,2633.0,57.03,34573,91030709.0,1,⚪ Neutral
ORCHPHARMA,618.0,68.68,146124,90304632.0,1,⚪ Neutral
GOLDBETA,132.85,61.17,679220,90234377.0,1,⚪ Neutral
TIMKEN,3370.0,56.64,25733,86720210.0,1,⚪ Neutral
NORTHARC,254.7,53.91,333795,85017586.5,1,⚪ Neutral
STALLION,121.97,61.1,693890,84633763.3,1,⚪ Neutral
MEDANTA,1163.9,54.69,71939,83729802.10000001,1,⚪ Neutral
EUREKAFORB,484.35,55.86,171402,83018558.7,1,⚪ Neutral
GANESHCP,172.25,50.51,470402,81026744.5,1,⚪ Neutral
PVTBANIETF,29.26,88.58,2756723,80661714.98,1,⚪ Neutral
METAL,12.48,59.58,6412067,80022596.16,1,🔴 Flagged (Unsafe)
CAMLINFINE,139.59,51.74,573152,80006287.68,1,⚪ Neutral
CRAMC,251.5,50.85,317630,79883945.0,1,⚪ Neutral
BANKIETF,62.43,89.84,1269374,79247018.82,1,⚪ Neutral
HONAUT,31275.0,65.03,2525,78969375.0,1,⚪ Neutral
GSPL,305.5,69.26,258310,78913705.0,1,⚪ Neutral
SGMART,447.0,60.87,176286,78799842.0,1,⚪ Neutral
KIRIINDUS,456.05,60.12,170222,77629743.10000001,1,⚪ Neutral
STYLEBAAZA,304.35,59.59,252898,76969506.30000001,1,⚪ Neutral
HDFCNIFTY,285.8,92.3,265616,75913052.8,1,⚪ Neutral
AARTIPHARM,722.5,51.18,104955,75829987.5,1,⚪ Neutral
VRLLOG,288.4,71.08,252628,72857915.19999999,1,⚪ Neutral
EVEREADY,327.0,50.53,222278,72684906.0,1,⚪ Neutral
WENDT,6860.0,61.54,10589,72640540.0,1,⚪ Neutral
NESCO,1147.0,64.09,62792,72022424.0,1,⚪ Neutral
GKSL,111.0,63.47,646375,71747625.0,1,⚪ Neutral
LXCHEM,130.99,51.97,541080,70876069.2,1,⚪ Neutral
PARKHOTELS,121.49,65.35,582015,70709002.35,1,⚪ Neutral
INOXGREEN,171.6,57.85,406514,69757802.39999999,1,⚪ Neutral
ERIS,1362.0,56.73,51210,69748020.0,1,⚪ Neutral
RTNPOWER,8.31,50.12,8271444,68735699.64,1,🔴 Flagged (Unsafe)
RAINBOW,1207.7,65.05,56677,68448812.9,1,⚪ Neutral
SKFINDUS,2451.0,50.55,27809,68159859.0,1,⚪ Neutral
EPL,218.5,52.93,307587,67207759.5,1,⚪ Neutral
CANFINHOME,883.5,54.49,75489,66694531.5,1,⚪ Neutral
RITES,215.69,53.18,308729,66589758.01,1,⚪ Neutral
ORKLAINDIA,590.0,65.57,110643,65279370.0,1,⚪ Neutral
