symbol,series,DATE1,prev_close,open,high,low,LAST_PRICE,close,AVG_PRICE,volume,TURNOVER_LACS,NO_OF_TRADES,delivery_qty,delivery_pct,date
GSEC10ABSL,EQ,24-Feb-2026,110.82,110.67,110.67,110.67,110.67,110.67,110.67,20,0.02,2,20,100.0,2026-02-24
GSEC10IETF,EQ,24-Feb-2026,258.99,259.76,259.77,259.75,259.77,259.77,259.76,210,0.55,8,210,100.0,2026-02-24
GSEC10YEAR,EQ,24-Feb-2026,29.66,29.81,29.81,29.7,29.8,29.8,29.71,23745,7.05,22,23686,99.75,2026-02-24
GSEC5IETF,EQ,24-Feb-2026,64.5,64.36,64.7,64.36,64.6,64.6,64.62,23483,15.17,61,23476,99.97,2026-02-24
GSFC,EQ,24-Feb-2026,172.33,171.55,172.47,169.85,171.1,171.29,170.88,400917,685.08,7842,198600,49.54,2026-02-24
GSLSU,EQ,24-Feb-2026,88.9,87.05,92.95,87.0,91.0,90.36,90.55,32180,29.14,447,22049,68.52,2026-02-24
GSPL,EQ,24-Feb-2026,303.95,303.95,306.4,300.95,303.45,303.1,303.53,278672,845.85,16145,135624,48.67,2026-02-24
GSS,EQ,24-Feb-2026,14.7,14.32,14.68,14.11,14.49,14.37,14.33,29059,4.16,266,19771,68.04,2026-02-24
GTECJAINX,EQ,24-Feb-2026,19.29,20.0,20.0,19.0,19.55,19.0,19.12,2580,0.49,22,2572,99.69,2026-02-24
GTL,EQ,24-Feb-2026,7.31,7.3,7.3,7.1,7.17,7.12,7.19,175230,12.61,644,118852,67.83,2026-02-24
GTLINFRA,EQ,24-Feb-2026,1.13,1.13,1.17,1.1,1.15,1.15,1.13,48402831,546.18,12713,17975348,37.14,2026-02-24
GTPL,EQ,24-Feb-2026,69.91,73.5,73.5,68.64,68.8,68.83,69.53,77958,54.21,2149,22684,29.1,2026-02-24
GUFICBIO,EQ,24-Feb-2026,283.5,283.55,284.45,274.45,283.0,281.1,280.12,74645,209.09,3002,39015,52.27,2026-02-24
GUJALKALI,EQ,24-Feb-2026,489.95,488.0,488.0,473.0,476.0,475.2,476.75,22407,106.83,1272,12255,54.69,2026-02-24
GUJAPOLLO,EQ,24-Feb-2026,380.95,384.65,387.6,377.0,377.0,378.3,380.85,4316,16.44,488,2045,47.38,2026-02-24
GUJGASLTD,EQ,24-Feb-2026,408.9,408.9,418.7,402.15,404.15,405.4,409.49,617266,2527.62,25555,232509,37.67,2026-02-24
GUJRAFFIA,EQ,24-Feb-2026,42.69,42.25,42.25,40.61,40.75,40.75,41.03,807,0.33,33,782,96.9,2026-02-24
GUJTHEM,EQ,24-Feb-2026,333.95,331.9,331.9,316.0,321.8,319.3,320.74,45188,144.94,1766,23214,51.37,2026-02-24
GULFOILLUB,EQ,24-Feb-2026,1078.6,1078.0,1084.2,1056.3,1073.0,1072.2,1066.64,22630,241.38,2234,14316,63.26,2026-02-24
GULFPETRO,EQ,24-Feb-2026,32.81,33.13,33.84,32.13,32.35,32.32,32.54,27584,8.97,380,22667,82.17,2026-02-24
GULPOLY,EQ,24-Feb-2026,154.71,153.94,155.49,151.0,154.0,151.87,152.96,67126,102.68,1039,44371,66.1,2026-02-24
GVPTECH,EQ,24-Feb-2026,7.35,7.1,7.6,6.3,7.0,6.79,6.92,103560,7.17,319,63875,61.68,2026-02-24
GVT&D,EQ,24-Feb-2026,3713.1,3698.0,3760.4,3645.9,3730.0,3735.9,3722.53,606582,22580.2,40774,400432,66.01,2026-02-24
HAL,EQ,24-Feb-2026,4025.4,4005.0,4032.4,3937.1,3953.0,3952.6,3972.39,1605651,63782.66,100642,764811,47.63,2026-02-24
HALDER,EQ,24-Feb-2026,251.0,250.0,262.75,245.0,252.0,251.35,249.93,299,0.75,33,293,97.99,2026-02-24
HALEOSLABS,EQ,24-Feb-2026,1272.8,1331.0,1331.0,1266.8,1266.8,1266.8,1285.63,471,6.06,65,293,62.21,2026-02-24
HAPPSTMNDS,EQ,24-Feb-2026,366.35,365.85,367.45,358.3,364.7,362.8,361.48,486529,1758.71,21590,190422,39.14,2026-02-24
HAPPYFORGE,EQ,24-Feb-2026,1327.4,1336.9,1350.0,1303.3,1336.5,1329.7,1333.04,50845,677.79,8344,22547,44.34,2026-02-24
